,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc
0,0.65,0.29,0.69,25.88,-105.76,11.13,0.991312261600753
1,0.65,0.3,0.68,25.91,-102.26,10.34,0.9873702446397704
2,0.65,0.31,0.67,25.82,-99.51,10.09,0.9836157786453001
3,0.65,0.31,0.67,25.27,-97.13,10.09,0.9836157786453001
4,0.65,0.33,0.66,24.45,-95.18,10.46,0.9833615815151617
5,0.65,0.33,0.66,23.45,-93.2,10.46,0.9833615815151617
6,0.67,0.34,0.66,21.95,-92.01,10.52,1.0000499987500626
7,0.67,0.34,0.65,20.43,-91.4,10.88,0.9934787365615835
8,0.67,0.34,0.64,19.33,-89.97,11.1,0.9869650449737317
9,0.74,0.37,0.65,1.55,-0.27,-1.49,1.0521406750050109
10,0.74,0.37,0.66,1.86,-0.43,-1.37,1.058347768930421
11,0.74,0.37,0.66,2.13,-0.06,-1.46,1.058347768930421
12,0.74,0.37,0.67,2.47,0.18,-1.74,1.064612605598863
13,0.74,0.37,0.66,2.87,0.21,-1.8,1.058347768930421
14,0.74,0.37,0.66,2.96,-0.09,-1.68,1.058347768930421
15,0.72,0.37,0.67,3.11,0.0,-1.37,1.0508092119885513
16,0.73,0.37,0.67,3.17,0.12,-1.25,1.0576861538282516
17,0.73,0.38,0.66,2.77,-0.27,-1.19,1.0549407566304376
18,0.73,0.37,0.67,2.56,-0.88,-1.34,1.0576861538282516
19,0.73,0.38,0.67,2.01,-1.37,-1.16,1.0612257064357233
20,0.73,0.38,0.67,1.52,-1.74,-1.13,1.0612257064357233
21,0.73,0.38,0.66,1.31,-2.13,-1.28,1.0549407566304376
22,0.73,0.37,0.67,0.91,-2.38,-1.1,1.0576861538282516
23,0.74,0.36,0.66,1.1,-2.77,-1.65,1.0548933595392476
24,0.74,0.37,0.67,1.19,-3.29,-1.86,1.064612605598863
25,0.74,0.37,0.67,1.1,-2.84,-1.65,1.064612605598863
26,0.74,0.37,0.66,1.28,-2.44,-1.98,1.058347768930421
27,0.74,0.38,0.66,0.7,-2.59,-2.1,1.0618851161966627
28,0.74,0.38,0.66,0.49,-2.96,-2.53,1.0618851161966627
29,0.74,0.38,0.67,0.49,-2.77,-2.04,1.068129205667554
30,0.74,0.38,0.66,0.24,-2.41,-1.95,1.0618851161966627
31,0.74,0.38,0.66,0.0,-2.23,-1.95,1.0618851161966627
32,0.74,0.38,0.65,-0.3,-1.95,-1.86,1.0556988206870368
33,0.74,0.38,0.66,0.03,-1.62,-2.1,1.0618851161966627
34,0.74,0.38,0.65,-0.12,-1.34,-2.23,1.0556988206870368
35,0.74,0.38,0.65,-0.15,-1.04,-2.41,1.0556988206870368
36,0.73,0.38,0.65,0.21,-0.61,-2.32,1.0487134975769121
37,0.73,0.38,0.66,0.3,-0.73,-2.35,1.0549407566304376
38,0.74,0.38,0.65,0.64,-0.55,-2.2,1.0556988206870368
39,0.74,0.38,0.65,0.91,-0.64,-2.16,1.0556988206870368
40,0.74,0.38,0.65,0.82,-0.55,-2.07,1.0556988206870368
41,0.73,0.38,0.65,1.37,-0.4,-2.2,1.0487134975769121
42,0.73,0.38,0.66,1.55,-0.15,-1.92,1.0549407566304376
43,0.73,0.37,0.65,1.65,-0.46,-1.55,1.04513157066467
44,0.73,0.38,0.65,2.1,-0.15,-1.71,1.0487134975769121
45,0.74,0.37,0.65,2.29,-0.27,-1.77,1.0521406750050109
46,0.74,0.38,0.65,2.56,-0.09,-2.01,1.0556988206870368
47,0.73,0.37,0.64,2.77,-0.03,-1.77,1.0389417693018217
48,0.74,0.37,0.64,2.65,-0.46,-1.86,1.0459923517884824
49,0.73,0.37,0.65,3.02,-0.15,-1.83,1.04513157066467
50,0.74,0.38,0.64,2.87,0.21,-1.83,1.049571341072154
51,0.74,0.38,0.64,2.53,-0.18,-1.74,1.049571341072154
52,0.74,0.38,0.64,2.26,-0.37,-2.2,1.049571341072154
53,0.74,0.38,0.65,2.07,-0.55,-2.1,1.0556988206870368
54,0.73,0.38,0.64,1.77,-0.4,-2.26,1.042544963059148
55,0.74,0.38,0.65,1.34,0.12,-2.44,1.0556988206870368
56,0.74,0.37,0.64,1.4,0.12,-2.41,1.0459923517884824
57,0.74,0.38,0.65,1.59,0.34,-2.56,1.0556988206870368
58,0.74,0.37,0.65,1.59,0.34,-2.47,1.0521406750050109
59,0.73,0.37,0.65,1.43,0.46,-2.74,1.04513157066467
60,0.74,0.37,0.65,1.49,0.76,-2.77,1.0521406750050109
61,0.74,0.37,0.65,1.8,0.91,-2.93,1.0521406750050109
62,0.74,0.38,0.65,1.95,0.73,-3.2,1.0556988206870368
