,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc
0,0.42,0.72,0.62,14.63,22.16,50.49,1.0388455130576442
1,0.41,0.71,0.62,13.72,22.68,50.73,1.0279105019407089
2,0.43,0.7,0.61,13.02,23.29,50.46,1.0232301793829186
3,0.43,0.7,0.62,12.56,24.36,50.24,1.0292230079045066
4,0.43,0.7,0.62,12.71,25.73,50.12,1.0292230079045066
5,0.43,0.7,0.62,12.26,26.55,49.18,1.0292230079045066
6,0.44,0.7,0.62,11.95,27.16,48.51,1.0334408546211051
7,0.42,0.69,0.62,12.38,27.68,49.42,1.0182828683622247
8,0.42,0.69,0.62,12.65,28.29,50.03,1.0182828683622247
9,0.39,0.68,0.63,12.84,28.63,51.22,1.0056838469419702
10,0.4,0.68,0.63,13.29,29.45,51.62,1.009603882718366
11,0.41,0.66,0.64,13.99,30.3,52.16,1.006628034578811
12,0.42,0.65,0.64,14.88,30.67,51.71,1.0042410069301093
13,0.41,0.64,0.64,16.16,29.85,51.34,0.9936297097007517
14,0.41,0.64,0.65,17.32,29.94,51.01,1.0000999950004998
15,0.41,0.64,0.64,18.54,29.7,50.64,0.9936297097007517
16,0.42,0.63,0.64,19.57,29.18,50.85,0.9914131328563285
17,0.4,0.63,0.65,21.04,29.27,50.55,0.9896464014990405
18,0.41,0.63,0.65,22.04,28.57,50.34,0.9937303457175896
19,0.41,0.63,0.64,22.44,27.41,49.97,0.9872183142547548
20,0.4,0.63,0.64,23.35,27.62,49.7,0.9831073186585482
21,0.4,0.64,0.64,24.21,26.95,49.73,0.9895453501482385
22,0.39,0.64,0.63,25.09,26.34,50.0,0.9790812019439451
23,0.39,0.64,0.63,26.04,26.77,49.88,0.9790812019439451
24,0.39,0.64,0.62,26.34,25.7,50.27,0.9726767191621275
25,0.39,0.65,0.63,27.07,25.15,50.27,0.9856469956328179
26,0.39,0.65,0.63,27.56,24.91,50.79,0.9856469956328179
27,0.39,0.64,0.61,28.54,24.79,51.31,0.9663332758422428
28,0.39,0.64,0.62,29.3,24.7,52.32,0.9726767191621275
29,0.4,0.64,0.62,30.55,24.91,52.84,0.9767292357659825
30,0.41,0.63,0.61,31.4,25.15,54.05,0.9680392554023829
31,0.41,0.63,0.61,33.02,26.28,54.33,0.9680392554023829
32,0.41,0.63,0.6,33.75,26.71,55.4,0.9617692030835672
33,0.41,0.62,0.6,34.85,26.65,55.58,0.95524865872714
34,0.42,0.62,0.6,35.24,27.01,55.4,0.9595832428716125
35,50.78,0.23,0.68,5.49,0.67,0.52,50.785073594512
36,0.78,0.24,0.67,5.88,0.7,0.4,1.0558882516630252
37,0.78,0.24,0.68,6.4,1.19,0.52,1.06226173799116
38,0.78,0.24,0.67,6.4,0.79,0.06,1.0558882516630252
39,0.78,0.24,0.67,6.13,0.73,-0.34,1.0558882516630252
40,0.78,0.24,0.67,5.76,1.01,-0.27,1.0558882516630252
41,0.79,0.25,0.67,4.85,1.37,-0.67,1.0655984234222573
42,0.78,0.25,0.67,4.09,1.16,-1.01,1.0582060290888538
43,0.79,0.25,0.66,3.51,1.65,-1.59,1.0593394168065304
44,0.79,0.24,0.66,2.96,1.89,-1.19,1.057024124606435
45,0.79,0.24,0.66,2.68,2.93,-1.43,1.057024124606435
46,0.79,0.24,0.66,2.35,3.08,-1.77,1.057024124606435
47,0.79,0.24,0.66,1.92,2.87,-2.1,1.057024124606435
48,0.78,0.24,0.66,1.59,3.02,-2.16,1.049571341072154
49,0.78,0.24,0.67,1.37,2.74,-2.2,1.0558882516630252
50,0.78,0.24,0.67,1.4,2.47,-1.89,1.0558882516630252
51,0.78,0.23,0.67,1.59,2.68,-1.86,1.0536602868097478
52,0.78,0.23,0.67,1.65,1.92,-1.62,1.0536602868097478
53,0.78,0.23,0.68,1.65,1.77,-1.65,1.0600471687618434
54,0.77,0.24,0.68,1.71,1.16,-1.62,1.0549407566304376
55,0.77,0.24,0.68,1.8,0.12,-1.77,1.0549407566304376
56,0.77,0.24,0.69,1.49,-0.37,-1.49,1.061414151026827
57,0.77,0.24,0.68,1.31,-0.27,-1.28,1.0549407566304376
58,0.78,0.25,0.67,1.43,-0.52,-1.43,1.0582060290888538
59,0.78,0.25,0.67,0.95,-0.79,-1.34,1.0582060290888538
60,0.78,0.25,0.68,1.31,-0.46,-1.25,1.0645656391223606
61,0.78,0.25,0.67,1.34,-0.7,-1.43,1.0582060290888538
62,0.79,0.25,0.67,1.43,-0.18,-1.37,1.0655984234222573
63,0.79,0.26,0.67,1.8,0.09,-1.62,1.067988763985839
64,0.79,0.26,0.67,1.68,0.12,-1.74,1.067988763985839
65,0.79,0.26,0.66,1.68,0.98,-1.25,1.0617438485811916
66,0.79,0.27,0.66,1.52,1.52,-1.4,1.0642368157510809
67,0.79,0.27,0.66,1.46,2.29,-1.16,1.0642368157510809
68,0.78,0.27,0.67,0.88,2.38,-1.37,1.06310864919819
69,0.79,0.28,0.66,0.34,2.47,-1.59,1.0668176976409793
70,0.79,0.28,0.66,-0.4,3.23,-1.59,1.0668176976409793
71,0.79,0.28,0.66,-1.04,2.65,-1.77,1.0668176976409793
72,0.78,0.28,0.67,-2.07,2.9,-1.92,1.0656922632730332
73,0.78,0.28,0.67,-2.59,2.87,-1.74,1.0656922632730332
74,0.78,0.28,0.67,-3.41,2.26,-1.68,1.0656922632730332
75,0.78,0.28,0.68,-3.9,2.13,-1.55,1.0720074626605918
76,0.78,0.28,0.69,-4.63,1.28,-1.04,1.0783784122468327
77,0.78,0.27,0.7,-5.18,0.7,-1.59,1.082266141020775
78,0.78,0.26,0.7,-5.88,0.06,-1.4,1.079814798935447
79,0.79,0.26,0.7,-5.91,-0.4,-1.89,1.0870602559196063
80,0.79,0.24,0.7,-6.52,-1.68,-1.77,1.082450922675019
81,0.8,0.24,0.7,-7.32,-1.95,-2.16,1.0897706180660223
82,0.82,0.23,0.71,-8.48,-1.34,-2.35,1.1087831167545796
83,0.84,0.23,0.72,-9.63,-0.73,-2.8,1.13
84,0.86,0.22,0.72,-11.59,-0.58,-3.66,1.142978564978364
85,0.88,0.21,0.74,-13.38,0.7,-4.21,1.1688028062936877
86,0.91,0.21,0.74,-15.91,1.98,-4.91,1.1915536076903968
87,0.95,0.2,0.75,-19.57,3.75,-5.12,1.2267844146385296
88,0.98,0.18,0.76,-23.78,7.62,-5.4,1.2531560158256432
89,1.02,0.15,0.79,-28.66,12.68,-6.16,1.2988456413292535
90,1.13,0.12,0.83,-37.26,18.66,-4.91,1.4071957930579524
91,1.22,0.08,0.85,-44.48,25.79,-5.43,1.4890601062415176
92,1.3,0.02,0.89,-54.18,34.24,-5.18,1.575595125658873
93,1.4,-0.1,0.97,-61.83,43.69,-7.1,1.7061359852016484
94,1.54,-0.31,1.04,-69.02,52.04,-10.12,1.883958598271204
95,1.66,-0.5,1.16,-70.85,59.6,-16.4,2.0859530196051876
96,1.7,-0.75,1.3,-70.82,67.35,-20.18,2.267708094089713
97,1.77,-1.17,1.46,-61.55,73.54,-24.66,2.5755387785859485
98,1.9,-1.6,1.77,-64.79,76.86,-19.6,3.050065573065602
99,2.0,-2.0,2.0,-30.98,90.67,-34.51,3.4641016151377544
100,2.0,-2.0,2.0,-1.1,87.8,-43.29,3.4641016151377544
101,2.0,-2.0,2.0,24.97,83.2,-55.46,3.4641016151377544
102,2.0,-2.0,2.0,51.98,71.37,-73.48,3.4641016151377544
103,2.0,-2.0,2.0,71.43,62.68,-82.41,3.4641016151377544
104,2.0,-2.0,2.0,99.6,60.15,-99.7,3.4641016151377544
105,2.0,-2.0,2.0,69.42,15.18,-124.12,3.4641016151377544
106,2.0,-2.0,2.0,-7.93,-53.96,-152.62,3.4641016151377544
107,2.0,-2.0,1.92,-111.43,-121.59,-192.1,3.4185376990754395
108,2.0,-2.0,1.34,-225.95,-198.9,-220.24,3.1297923253787943
109,2.0,-2.0,0.96,-337.01,-245.52,-238.11,2.986904752415115
110,2.0,-2.0,0.55,-443.54,-287.44,-250.18,2.881405906844782
111,2.0,-2.0,0.15,-530.0,-340.76,-260.21,2.8324018076537096
112,2.0,-2.0,-0.08,-581.52,-371.77,-290.91,2.829558269412383
113,2.0,-2.0,-0.49,-585.85,-398.32,-332.16,2.8705574371539755
114,2.0,-2.0,-1.01,-588.14,-436.8,-387.68,3.0033481316690542
115,2.0,-2.0,-1.81,-566.31,-479.18,-394.02,3.3579904705046437
116,2.0,-2.0,-2.0,-500.0,-372.65,-429.57,3.4641016151377544
117,2.0,-2.0,-2.0,-428.41,-309.42,-433.78,3.4641016151377544
118,2.0,-2.0,-2.0,-391.22,-211.49,-402.59,3.4641016151377544
119,2.0,-2.0,-2.0,-314.79,99.36,-442.8,3.4641016151377544
120,2.0,-2.0,-2.0,-304.76,318.93,-493.41,3.4641016151377544
121,2.0,-2.0,-2.0,-321.77,573.35,-555.64,3.4641016151377544
122,2.0,-2.0,-2.0,-363.99,788.38,-669.51,3.4641016151377544
123,2.0,-2.0,-2.0,-442.8,886.62,-777.16,3.4641016151377544
124,1.74,-2.0,-2.0,-493.66,967.77,-856.07,3.3207830401879614
125,-0.5,-2.0,-2.0,-516.19,993.14,-833.75,2.8722813232690143
126,-2.0,-2.0,-2.0,-454.02,994.76,-811.25,3.4641016151377544
127,-2.0,-2.0,-0.98,-300.37,931.74,-756.37,2.9933927239839413
128,-2.0,-2.0,0.44,-130.98,757.93,-657.93,2.862446506050375
129,-2.0,-2.0,2.0,102.77,663.93,-707.13,3.4641016151377544
130,-2.0,-2.0,2.0,164.6,548.81,-748.63,3.4641016151377544
131,-2.0,-2.0,2.0,185.55,499.91,-625.15,3.4641016151377544
132,-2.0,-2.0,2.0,242.84,601.71,-631.13,3.4641016151377544
133,-2.0,-1.62,2.0,237.29,860.3,-905.79,3.2595091655032973
134,-2.0,2.0,2.0,-127.99,828.38,-631.04,3.4641016151377544
135,-2.0,2.0,2.0,-853.51,260.98,-574.73,3.4641016151377544
136,-2.0,2.0,2.0,-999.02,-150.7,-841.22,3.4641016151377544
137,-2.0,2.0,2.0,-999.02,282.16,-956.62,3.4641016151377544
138,-2.0,2.0,2.0,-618.87,266.95,-658.78,3.4641016151377544
139,-2.0,2.0,2.0,-41.04,306.98,-478.48,3.4641016151377544
140,-2.0,2.0,2.0,544.6,-20.49,-155.15,3.4641016151377544
141,-2.0,2.0,2.0,998.99,-183.05,270.4,3.4641016151377544
142,-2.0,2.0,-2.0,907.32,-427.53,695.49,3.4641016151377544
143,-1.43,2.0,-2.0,801.1,-791.19,902.23,3.1693690223765363
144,2.0,0.07,-2.0,628.78,-999.02,801.89,2.829293197955984
145,2.0,-0.09,-2.0,582.59,-944.24,565.43,2.8298586537139974
146,2.0,0.8,-2.0,269.39,-401.25,688.93,2.939387691339814
147,-0.83,2.0,-2.0,66.86,716.59,667.13,2.947694013970921
148,-2.0,2.0,-2.0,-398.05,499.33,418.66,3.4641016151377544
149,-2.0,-2.0,-2.0,-902.8,-172.35,260.67,3.4641016151377544
150,-2.0,-2.0,-2.0,-999.02,-447.59,151.01,3.4641016151377544
151,-2.0,-2.0,0.1,-999.02,-393.87,-22.8,2.8301943396169813
152,-0.22,-2.0,-0.33,-749.3,-538.14,-393.57,2.0389458060478214
153,1.52,-2.0,1.19,-580.27,-375.49,-237.07,2.7796582523756403
154,2.0,-2.0,2.0,-77.38,61.98,120.12,3.4641016151377544
155,1.73,-2.0,2.0,142.38,357.68,74.09,3.315554252308353
156,0.34,-2.0,-0.24,124.94,76.34,47.07,2.042841158778626
157,-0.24,-0.35,0.88,-32.65,9.33,0.46,0.9769851585361979
