,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc
0,0.71,0.31,0.56,-50.43,1.77,4.39,0.955928867646542
1,0.71,0.3,0.56,-48.32,1.28,4.15,0.952732911156112
2,0.71,0.3,0.57,-46.65,2.41,4.15,0.9586448768965492
3,0.71,0.31,0.57,-45.37,2.26,5.12,0.9618211892030659
4,0.72,0.31,0.56,-43.72,4.12,4.73,0.9633794683301071
5,0.72,0.32,0.56,-42.35,4.85,5.37,0.9666436778875658
6,0.72,0.33,0.57,-40.98,6.83,5.55,0.9758073580374356
7,0.72,0.34,0.57,-39.24,9.39,5.52,0.9792343948207701
8,0.69,0.34,0.58,-37.71,9.36,7.04,0.9633794683301071
9,0.7,0.34,0.58,-35.09,11.13,9.02,0.9705668446840743
10,70.4,0.49,0.92,-0.27,1.95,1.52,70.40771619645109
11,0.4,0.49,0.92,-0.3,1.55,2.04,1.1164676439557037
12,0.4,0.48,0.92,-0.24,1.07,2.74,1.1121151019566275
13,0.4,0.48,0.93,0.24,0.52,3.14,1.1204017136723774
14,0.4,0.48,0.92,0.61,-0.03,3.6,1.1121151019566275
15,0.4,0.48,0.92,1.25,-0.06,4.02,1.1121151019566275
16,0.4,0.48,0.92,1.86,-0.67,4.54,1.1121151019566275
17,0.4,0.47,0.92,2.16,-0.95,4.97,1.107835727894709
18,0.4,0.48,0.92,2.9,-0.91,5.52,1.1121151019566275
19,0.4,0.47,0.91,2.99,-1.46,6.1,1.099545360592277
20,0.4,0.47,0.91,3.23,-2.04,6.77,1.099545360592277
21,0.4,0.47,0.92,3.69,-2.62,6.68,1.107835727894709
22,0.41,0.46,0.92,4.36,-3.17,7.5,1.1072939989000212
23,0.41,0.45,0.92,4.94,-3.48,7.5,1.103177229641729
24,0.4,0.46,0.91,5.24,-3.87,7.32,1.0953081758117211
25,0.41,0.45,0.91,5.64,-4.24,7.04,1.094851588115942
26,0.41,0.45,0.9,5.55,-4.7,7.44,1.0865541864076544
27,0.41,0.45,0.89,5.95,-5.37,7.93,1.0782856764327347
28,0.41,0.45,0.89,5.43,-5.64,7.26,1.0782856764327347
29,0.41,0.45,0.88,5.09,-5.61,7.5,1.0700467279516348
30,0.41,0.44,0.88,4.85,-5.34,7.44,1.0658799181896617
31,0.44,0.44,0.87,4.79,-5.46,7.26,1.0696261028976433
32,0.43,0.43,0.87,4.42,-5.15,7.1,1.061461256947233
33,0.43,0.44,0.86,3.99,-4.57,6.55,1.057402477772773
34,0.43,0.42,0.86,3.41,-4.12,6.1,1.0492378186092988
35,0.43,0.43,0.87,3.26,-3.81,5.43,1.061461256947233
36,0.43,0.43,0.87,2.62,-3.29,5.03,1.061461256947233
37,0.41,0.44,0.86,2.2,-3.38,4.79,1.0494284158531253
38,0.42,0.43,0.87,1.92,-3.29,4.36,1.0574497624000867
39,0.43,0.43,0.87,1.55,-3.35,4.3,1.061461256947233
40,0.42,0.43,0.86,0.88,-3.99,4.27,1.0492378186092988
41,0.43,0.43,0.87,1.43,-4.18,3.96,1.061461256947233
42,0.43,0.42,0.88,1.74,-4.42,3.51,1.0656922632730332
43,0.43,0.43,0.87,1.83,-4.39,3.2,1.061461256947233
44,0.43,0.43,0.88,2.29,-4.79,2.62,1.0696728471827261
45,0.43,0.42,0.88,2.65,-4.7,2.1,1.0656922632730332
46,0.44,0.43,0.88,3.17,-4.7,1.4,1.0737318100903968
47,0.44,0.43,0.88,3.99,-4.45,1.19,1.0737318100903968
48,0.43,0.45,0.88,3.81,-4.82,0.85,1.0778682665335315
49,0.44,0.46,0.87,3.6,-4.85,0.43,1.0780074211247344
50,0.44,0.47,0.87,2.41,-4.24,0.15,1.0823123393919152
51,0.44,0.49,0.87,1.59,-3.54,-0.3,1.091146186356347
52,0.44,0.51,0.87,-0.4,-3.2,-0.82,1.1002726934719411
53,0.44,0.51,0.87,-2.41,-2.62,-1.46,1.1002726934719411
54,0.45,0.52,0.87,-4.42,-2.41,-1.59,1.1089634800118533
55,0.45,0.53,0.88,-6.28,-1.74,-2.41,1.1215168300119263
56,0.45,0.54,0.9,-8.17,-1.62,-2.53,1.1419719786404567
57,0.45,0.54,0.9,-10.21,-1.31,-3.14,1.1419719786404567
58,0.47,0.53,0.91,-10.98,-0.64,-4.05,1.1532129031536198
59,0.47,0.54,0.93,-13.17,-0.43,-4.88,1.1736268572250723
60,0.5,0.5,0.94,-13.96,-0.27,-5.37,1.176265276202609
61,0.51,0.49,0.96,-13.29,0.46,-6.62,1.1923925528113632
62,0.5,0.5,1.0,-12.9,-0.09,-6.89,1.224744871391589
63,0.51,0.49,1.03,-13.17,-1.34,-7.16,1.2494398745037714
64,0.54,0.47,1.05,-12.87,-1.77,-7.1,1.2708265027138834
65,0.56,0.46,1.06,-12.56,-0.82,-7.9,1.284056073541962
66,0.6,0.46,1.08,-13.69,0.3,-8.08,1.3183322798141597
67,0.63,0.46,1.1,-14.51,2.16,-7.93,1.3485177047410242
68,0.65,0.45,1.14,-16.43,4.76,-7.38,1.38729953506804
69,0.7,0.4,1.19,-18.14,7.47,-7.16,1.4373934743138357
70,0.76,0.31,1.24,-17.99,11.37,-8.17,1.4870440477672475
71,0.82,0.23,1.31,-17.99,14.79,-10.24,1.5624979999987199
72,0.87,0.18,1.39,-21.22,19.82,-14.7,1.649666632989829
73,1.01,0.16,1.49,-21.22,48.35,-26.22,1.807152456213919
74,0.9,0.06,1.59,-35.21,18.2,-21.92,1.8280317283898548
75,1.21,-0.08,1.69,-30.85,46.13,-35.95,2.0800480763674667
76,1.25,-0.27,1.79,-30.34,51.16,-39.42,2.1998863607013885
77,1.3,-0.42,1.95,-34.27,60.88,-49.48,2.380945190465333
78,1.36,-0.68,2.0,-35.0,62.65,-51.55,2.512369399590753
79,1.47,-1.03,2.0,-20.46,76.83,-30.12,2.6873406929527937
80,1.5,-1.47,2.0,-28.63,66.77,-62.1,2.9001551682625535
81,1.82,-1.94,2.0,-6.55,69.33,-51.04,3.3280624994131345
82,2.0,-2.0,2.0,21.46,69.15,-44.54,3.4641016151377544
83,2.0,-2.0,2.0,42.04,57.16,-35.3,3.4641016151377544
84,2.0,-2.0,2.0,62.56,46.55,-35.0,3.4641016151377544
85,2.0,-2.0,2.0,57.35,9.94,-39.91,3.4641016151377544
86,2.0,-2.0,2.0,41.34,-11.28,-68.48,3.4641016151377544
87,2.0,-2.0,2.0,-4.66,-46.16,-115.03,3.4641016151377544
88,2.0,-2.0,2.0,-71.86,-93.35,-171.92,3.4641016151377544
89,2.0,-2.0,2.0,-156.86,-140.64,-240.98,3.4641016151377544
90,2.0,-1.98,2.0,-256.77,-182.41,-310.27,3.4525932282850813
91,2.0,-1.95,2.0,-355.73,-226.86,-351.98,3.435476677260377
92,2.0,-2.0,1.76,-432.38,-238.81,-393.9,3.3313060501851224
93,2.0,-2.0,1.41,-486.89,-235.34,-443.9,3.160395544864598
94,2.0,-2.0,1.17,-511.98,-234.42,-483.96,3.0608658905610353
95,2.0,-2.0,0.93,-503.35,-223.08,-509.12,2.9773981930537943
96,2.0,-2.0,0.6,-467.38,-207.53,-525.37,2.891366458960192
97,2.0,-2.0,0.17,-402.04,-165.67,-533.35,2.8335313656284096
98,2.0,-2.0,-0.44,-316.95,-99.3,-533.14,2.862446506050375
99,2.0,-2.0,-1.17,-237.99,-8.38,-544.91,3.0608658905610353
100,2.0,-2.0,-2.0,-170.12,94.97,-552.53,3.4641016151377544
101,2.0,-2.0,-2.0,-96.68,208.51,-535.34,3.4641016151377544
102,2.0,-2.0,-2.0,-44.82,357.68,-539.79,3.4641016151377544
103,2.0,-2.0,-2.0,-9.57,494.42,-562.56,3.4641016151377544
104,1.99,-2.0,-2.0,36.28,621.68,-577.23,3.458337751001195
105,-0.07,-2.0,-2.0,69.05,699.05,-577.53,2.829293197955984
106,-2.0,-2.0,-2.0,157.16,741.89,-550.85,3.4641016151377544
107,-2.0,-2.0,-2.0,279.02,792.01,-535.61,3.4641016151377544
108,-2.0,-2.0,-2.0,444.88,857.29,-465.79,3.4641016151377544
109,-2.0,-2.0,-2.0,622.84,939.45,-399.73,3.4641016151377544
110,-2.0,-0.45,-2.0,652.62,998.99,-285.46,2.864000698323937
111,-2.0,2.0,-2.0,352.38,998.99,-377.59,3.4641016151377544
112,-2.0,2.0,-2.0,23.26,859.54,-569.6,3.4641016151377544
113,-2.0,2.0,-2.0,-410.4,411.65,-932.44,3.4641016151377544
114,-2.0,2.0,-2.0,-752.9,113.54,-987.77,3.4641016151377544
115,-2.0,2.0,0.68,-707.26,232.13,-900.49,2.9090204536922735
116,-2.0,2.0,2.0,-470.12,207.77,-558.17,3.4641016151377544
117,-2.0,2.0,2.0,-130.76,-239.85,-104.36,3.4641016151377544
118,-2.0,2.0,2.0,389.85,-410.46,452.9,3.4641016151377544
119,-2.0,2.0,2.0,700.18,-701.07,915.43,3.4641016151377544
120,-2.0,2.0,-2.0,836.92,-792.84,998.99,3.4641016151377544
121,-2.0,0.75,-2.0,878.54,-782.38,998.99,2.9261749776799064
122,-0.86,-0.31,-2.0,800.03,-550.24,998.99,2.199022510116711
123,2.0,1.04,-2.0,560.3,-242.41,998.99,3.013569312293978
124,2.0,2.0,-2.0,147.9,64.73,831.34,3.4641016151377544
125,-0.85,2.0,-2.0,-331.62,208.02,508.17,2.9533878851244717
126,-2.0,2.0,-2.0,-683.38,148.05,235.12,3.4641016151377544
127,-2.0,1.27,-2.0,-870.85,17.38,66.92,3.1004677066533044
128,-2.0,-2.0,-2.0,-872.68,-120.64,-34.15,3.4641016151377544
129,-2.0,-2.0,-1.64,-706.16,-190.91,-39.3,3.2694953739071106
130,-2.0,-2.0,-0.73,-462.35,-137.44,18.29,2.9211128016562453
131,-2.0,-2.0,-0.42,-248.69,-219.94,173.38,2.859440504714165
132,-2.0,-2.0,-0.7,-34.82,-129.54,303.6,2.9137604568666933
133,-2.0,-2.0,-0.78,75.95,-165.91,402.53,2.93400749828626
134,-2.0,-2.0,-0.9,142.07,-149.51,453.81,2.968164415931166
135,-1.46,-2.0,-0.93,151.83,-156.49,448.69,2.6450897905364195
136,-0.57,-2.0,-0.87,138.57,-151.25,400.27,2.2542848089804446
137,0.4,-2.0,-0.72,110.15,-142.26,344.57,2.1629609335353237
138,1.22,-1.95,-0.33,68.96,-128.45,292.04,2.3237469741776966
139,1.97,-1.81,0.14,37.47,-105.7,245.52,2.678917691904699
140,2.0,-1.87,0.66,13.14,-55.21,221.01,2.8164694211015324
141,2.0,-1.68,1.51,5.27,-87.01,200.09,3.0170349683091175
142,2.0,-1.87,1.78,25.58,-60.46,196.28,3.2657770897598017
143,2.0,-1.94,2.0,50.52,-55.4,195.79,3.429810490391561
144,2.0,-2.0,2.0,80.46,-56.92,194.02,3.4641016151377544
145,2.0,-1.99,2.0,114.76,-50.61,195.49,3.458337751001195
146,2.0,-1.88,2.0,141.22,-50.18,199.88,3.3962332075403774
147,2.0,-1.74,2.0,158.57,-55.21,199.02,3.3207830401879614
148,2.0,-1.62,2.0,165.09,-70.91,191.86,3.2595091655032973
149,1.98,-1.51,2.0,161.25,-101.1,178.51,3.193822161611382
150,1.98,-1.5,2.0,148.9,-136.37,161.4,3.189106457928302
151,2.0,-1.55,2.0,132.38,-170.15,143.05,3.2252906845740275
152,2.0,-1.69,2.0,115.95,-193.78,120.18,3.2948596328220114
153,2.0,-1.82,2.0,102.1,-208.54,101.77,3.3633911458526495
154,2.0,-1.87,2.0,89.97,-213.35,89.18,3.390707890691854
155,2.0,-1.89,2.0,77.71,-212.9,78.23,3.4017789463749697
156,2.0,-1.89,2.0,66.89,-211.49,70.55,3.4017789463749697
157,2.0,-1.9,2.0,57.13,-210.64,63.08,3.407345007480164
158,2.0,-1.8,2.0,47.38,-206.65,56.46,3.352610922848042
159,2.0,-1.68,1.86,34.88,-198.57,51.07,3.2065557846387143
160,2.0,-1.6,1.65,24.57,-185.49,47.87,3.046719547316425
161,2.0,-1.45,1.47,15.52,-168.41,48.17,2.874613017433825
162,2.0,-1.33,1.33,8.23,-148.99,51.01,2.7455054179513105
163,2.0,-1.27,1.2,4.15,-125.79,51.16,2.6557296549159517
164,2.0,-1.26,1.09,8.9,-99.66,44.02,2.603017479772274
165,2.0,-1.29,1.02,18.9,-69.05,32.93,2.5893049260371015
166,2.0,-1.14,0.92,30.7,-36.28,16.1,2.4791127445116325
167,2.0,-0.88,0.8,38.99,-2.65,-1.89,2.3268863315598383
168,1.89,-0.46,0.68,40.7,29.6,-15.49,2.060606706773517
169,1.55,0.1,0.66,27.2,57.16,-25.15,1.6876314763596938
170,1.19,0.51,0.68,2.77,66.25,-29.79,1.4623952953972466
171,0.89,0.8,0.76,-24.48,66.16,-34.7,1.4176388820852792
172,0.63,0.99,0.87,-50.61,59.21,-39.33,1.460787458872782
173,0.43,1.07,0.98,-73.96,50.64,-44.88,1.5133406754594287
174,0.3,1.09,1.06,-91.16,34.21,-47.29,1.5497419139972954
175,0.24,1.08,1.14,-101.8,19.48,-46.16,1.5885842753848471
176,0.21,1.03,1.2,-104.73,7.96,-42.23,1.5953056133543817
177,0.2,0.97,1.2,-99.54,-1.04,-33.81,1.5559241626763176
178,0.2,0.97,1.18,-90.49,-7.44,-22.65,1.540551849176132
179,0.21,0.97,1.16,-79.39,-12.9,-8.6,1.526630276131061
180,0.25,0.97,1.09,-67.44,-11.46,5.64,1.4803715749770394
181,0.28,0.98,1.04,-58.29,-9.18,18.81,1.4561593319413917
182,0.32,0.97,0.98,-50.03,-1.86,29.3,1.415521105459046
183,0.38,0.97,0.92,-43.78,7.23,38.81,1.38985610766007
184,0.39,0.95,0.89,-38.75,16.43,47.77,1.3589334052851891
185,0.36,0.93,0.87,-36.34,22.62,56.1,1.3234047000067668
186,0.36,0.89,0.84,-35.64,30.43,59.85,1.2756566936288147
187,0.32,0.84,0.85,-36.83,33.96,62.47,1.2371337841963577
188,0.31,0.8,0.82,-39.21,38.87,63.48,1.186802426691149
189,0.29,0.72,0.82,-40.7,41.43,62.96,1.1291146974510604
190,0.28,0.65,0.82,-41.34,45.73,61.52,1.0831897340724752
191,0.26,0.6,0.83,-41.77,47.68,59.66,1.0566456359631642
192,0.21,0.55,0.87,-42.35,47.87,58.02,1.0504760825454333
193,0.12,0.52,0.92,-42.65,41.68,57.96,1.0635788640246666
194,0.05,0.48,0.97,-43.41,35.3,56.86,1.0834205093129814
195,0.0,0.43,1.03,-42.68,26.31,55.4,1.1161541112229978
196,-0.03,0.37,1.08,-40.27,15.12,54.73,1.1420157617125957
197,-0.04,0.31,1.11,-36.95,2.23,51.98,1.15316954521007
198,-0.03,0.29,1.12,-34.51,-11.71,47.5,1.1573245007343447
199,0.02,0.3,1.12,-32.29,-19.45,40.95,1.159655121145938
200,0.01,0.31,1.08,-31.16,-30.3,36.77,1.123654751247019
